path,ground_truth,free_act,instruct_act
EXP-1 Free/User-1-Bohan/Task-1/drink-1/output.mp4,视频里的人（站在桌旁）拿起桌上的水杯，喝了一口水，随后将水杯放回桌上。,视频里的人拿起桌上的水杯喝了水，之后将水杯放回桌上。,视频里的人拿起桌上的水杯喝了一口水，之后将水杯放回桌上。
EXP-1 Free/User-1-Bohan/Task-1/drink-2/output.mp4,视频中的人先是坐下，然后用手中的杯子喝了水。,视频里的人（一名男生）先是站着，随后坐下，接着用手中的水杯喝了一口水。,视频里的人手持水杯，随后坐下，接着喝了一口水。
EXP-1 Free/User-1-Bohan/Task-1/drink-3/output.mp4,视频中的人原本坐着，手持水杯，随后起身站立，将水杯举到嘴边喝了水。,视频里的男子从椅子上站起，用手中的水杯喝水。,视频里的人先坐在椅子上，之后站起身，拿着杯子喝了一口饮品。
EXP-1 Free/User-1-Bohan/Task-1/drink-4/output.mp4,视频里的人在办公室环境中，拿起水杯喝了一口水。,视频里的人站在办公室内，拿起水杯喝了一口水，之后双手握住水杯（似在拧合杯盖或握持水杯）。,视频里的人拿起水杯喝了一口水，之后将水杯放回桌子。
EXP-1 Free/User-1-Bohan/Task-1/drink-5/output.mp4,视频里的人走到一把椅子前坐下，随后喝了一口手中的饮品。,视频里的人走到一把办公椅前坐下，然后用手中的杯子喝了一口水。,视频中的人走进办公室，坐到椅子上，喝了一口手中的饮品。
EXP-1 Free/User-1-Bohan/Task-1/drink-6/output.mp4,视频里的人先从椅子上站起来，接着拿着水杯喝了一口水。,视频里的人从椅子上站起来，拿着水杯喝了一口水，之后双手握住水杯。,视频中的人原本坐在椅子上，手里拿着水杯；随后他站起身，靠在桌子边缘，用杯子喝了一口水，之后似乎在拧（或整理）水杯盖。
EXP-1 Free/User-1-Bohan/Task-1/drink-7/output.mp4,视频中的人走到桌子前，拿起桌上的水瓶喝了一口水，随后将水瓶放回桌上。,视频中的人走到桌子前，拿起桌上的水瓶喝了一口水，之后将水瓶放回桌上。,视频中的人走进办公室，来到一张桌子旁，拿起桌上的水杯，打开杯盖喝了水，之后将水杯放回桌上。
EXP-1 Free/User-1-Bohan/Task-1/drink-8/output.mp4,视频中的人坐在椅子上，拿起桌上的水杯喝了一口水，之后将水杯放回桌面。,视频中的人坐在椅子上，拿起桌上的水杯喝了一口水，随后将水杯放回桌上。,视频中的人坐在椅子上，伸手拿起桌上的水杯，喝了一口水，之后将水杯放回桌子上。
EXP-1 Free/User-1-Bohan/Task-1/drink-9/output.mp4,视频中的人走进室内，走到桌子旁拿起水瓶喝了水，之后将水瓶放回桌子。,视频里的人走到桌子旁，拿起桌上的水瓶喝了一口水，随后将水瓶放下。,视频里的人走进房间，走到桌子旁拿起水杯，喝了一口水后，将水杯放回桌子上。
EXP-1 Free/User-1-Bohan/Task-1/drink-10/output.mp4,视频中的人走进房间，坐在椅子上，拿起桌上的水杯喝了水，随后将水杯放回桌上。,视频里的人走进房间，坐到一把黑色办公椅上，拿起桌上的水杯喝了一口水，之后将水杯放回桌面。,视频里的人走进办公室，坐在椅子上，拿起桌上的水杯喝了一口水，随后将水杯放回桌面。
EXP-1 Free/User-1-Bohan/Task-1/drink-11/output.mp4,视频中的人坐在椅子上，弯腰捡起地上的水杯，喝了一口水，随后将水杯放置在桌子上。,视频里的人（坐在椅子上）先捡起地上的水杯，然后喝水，最后将水杯放到桌子上。,视频中的人坐在椅子上，捡起地上的水杯喝了一口水，随后将水杯放在了桌子上。
